log_id,user_id,ab_group,is_applied,sent_at
log_454,user_325,A,0,2023-10-26
log_455,user_326,Control,0,2023-10-26
log_456,user_327,B,0,2023-10-26
log_457,user_327,B,1,2023-11-05
log_458,user_328,Control,0,2023-10-26
log_459,user_329,B,0,2023-10-26
log_460,user_329,B,1,2023-11-05
log_461,user_330,Control,0,2023-10-26
log_462,user_331,A,0,2023-10-26
log_463,user_332,Control,0,2023-10-26
log_464,user_333,Control,0,2023-10-26
log_465,user_334,Control,0,2023-10-26
log_466,user_335,B,1,2023-10-26
log_467,user_335,B,1,2023-11-08
log_468,user_335,B,1,2023-11-18
log_469,user_336,B,0,2023-10-26
log_470,user_337,A,0,2023-10-26
log_471,user_338,B,0,2023-10-26
log_472,user_339,A,0,2023-10-26
log_473,user_339,A,1,2023-11-17
log_474,user_340,Control,0,2023-10-26
log_475,user_341,B,0,2023-10-26
log_476,user_341,B,1,2023-10-27
log_477,user_342,Control,0,2023-10-26
log_478,user_343,A,0,2023-10-26
log_479,user_344,B,0,2023-10-26
log_480,user_345,Control,0,2023-10-26
log_481,user_345,Control,1,2023-11-09
log_482,user_346,A,0,2023-10-26
log_483,user_347,Control,0,2023-10-26
log_484,user_348,B,0,2023-10-26
log_485,user_348,B,1,2023-11-23
log_486,user_349,B,0,2023-10-26
log_487,user_350,B,0,2023-10-26
log_488,user_351,A,0,2023-10-26
log_489,user_351,A,1,2023-10-29
log_490,user_352,B,0,2023-10-26
log_491,user_352,B,1,2023-11-22
log_492,user_353,Control,0,2023-10-26
log_493,user_354,A,0,2023-10-26
log_494,user_355,A,0,2023-10-26
log_495,user_356,Control,0,2023-10-26
log_496,user_357,Control,0,2023-10-26
log_497,user_358,B,0,2023-10-26
log_498,user_359,B,1,2023-10-26
log_499,user_359,B,1,2023-11-04
log_500,user_360,A,0,2023-10-26
log_501,user_361,Control,0,2023-10-26
log_502,user_362,Control,0,2023-10-26
log_503,user_363,A,0,2023-10-26
log_504,user_364,B,0,2023-10-26
log_505,user_364,B,1,2023-10-29
log_506,user_365,B,0,2023-10-26
log_507,user_366,Control,0,2023-10-26
log_508,user_367,Control,0,2023-10-26
log_509,user_368,Control,0,2023-10-26
log_510,user_369,B,0,2023-10-26
log_511,user_370,Control,0,2023-10-26
log_512,user_371,A,0,2023-10-26
log_513,user_372,B,0,2023-10-26
log_514,user_372,B,1,2023-11-01
log_515,user_372,B,1,2023-11-20
log_516,user_373,B,0,2023-10-26
log_517,user_374,B,0,2023-10-26
log_518,user_375,B,0,2023-10-26
log_519,user_375,B,1,2023-11-01
log_520,user_376,Control,0,2023-10-26
log_521,user_377,Control,0,2023-10-26
log_522,user_378,A,1,2023-10-26
log_523,user_378,A,1,2023-11-06
log_524,user_379,Control,0,2023-10-26
log_525,user_380,Control,0,2023-10-26
log_526,user_381,B,0,2023-10-26
log_527,user_382,A,1,2023-10-26
log_528,user_382,A,1,2023-11-19
log_529,user_383,A,0,2023-10-26
log_530,user_384,B,0,2023-10-26
log_531,user_384,B,1,2023-11-01
log_532,user_384,B,1,2023-11-03
log_533,user_385,Control,0,2023-10-26
log_534,user_386,A,0,2023-10-26
log_535,user_387,A,0,2023-10-26
log_536,user_388,Control,0,2023-10-26
log_537,user_388,Control,1,2023-10-28
log_538,user_389,B,0,2023-10-26
log_539,user_390,A,0,2023-10-26
log_540,user_391,A,0,2023-10-26
log_541,user_392,B,0,2023-10-26
log_542,user_393,Control,0,2023-10-26
log_543,user_394,A,0,2023-10-26
log_544,user_395,A,0,2023-10-26
log_545,user_396,Control,0,2023-10-26
log_546,user_397,B,0,2023-10-26
log_547,user_397,B,1,2023-11-03
log_548,user_398,Control,0,2023-10-26
log_549,user_399,A,0,2023-10-26
log_550,user_399,A,1,2023-11-08
log_551,user_400,Control,0,2023-10-26
log_552,user_401,A,0,2023-10-26
log_553,user_402,A,0,2023-10-26
log_554,user_402,A,1,2023-11-05
log_555,user_403,Control,0,2023-10-26
log_556,user_404,B,0,2023-10-26
log_557,user_405,A,0,2023-10-26
log_558,user_406,B,0,2023-10-26
log_559,user_407,B,0,2023-10-26
log_560,user_407,B,1,2023-11-23
log_561,user_408,A,0,2023-10-26
log_562,user_409,B,0,2023-10-26
log_563,user_410,B,0,2023-10-26
log_564,user_411,B,0,2023-10-26
log_565,user_411,B,1,2023-10-30
log_566,user_412,A,0,2023-10-26
log_567,user_412,A,1,2023-11-22
log_568,user_413,Control,0,2023-10-26
log_569,user_414,A,0,2023-10-26
log_570,user_415,Control,0,2023-10-26
log_571,user_416,A,0,2023-10-26
log_572,user_417,Control,1,2023-10-26
log_573,user_418,Control,0,2023-10-26
log_574,user_419,A,0,2023-10-26
log_575,user_419,A,1,2023-11-18
log_576,user_420,Control,0,2023-10-26
log_577,user_421,Control,0,2023-10-26
log_578,user_422,A,0,2023-10-26
log_579,user_423,B,0,2023-10-26
log_580,user_423,B,1,2023-10-29
log_581,user_424,B,1,2023-10-26
log_582,user_424,B,1,2023-11-23
log_583,user_425,Control,0,2023-10-26
log_584,user_426,A,0,2023-10-26
log_585,user_427,Control,0,2023-10-26
log_586,user_428,B,0,2023-10-26
log_587,user_428,B,1,2023-11-06
log_588,user_429,A,0,2023-10-26
log_589,user_429,A,1,2023-11-07
log_590,user_430,A,0,2023-10-26
log_591,user_430,A,1,2023-11-05
log_592,user_431,A,0,2023-10-26
log_593,user_431,A,1,2023-11-09
log_594,user_432,Control,0,2023-10-26
log_595,user_433,A,0,2023-10-26
log_596,user_434,Control,0,2023-10-26
log_597,user_435,A,0,2023-10-26
log_598,user_436,A,0,2023-10-26
log_599,user_436,A,1,2023-10-29
log_600,user_437,A,0,2023-10-26
log_601,user_438,B,0,2023-10-26
log_602,user_439,A,0,2023-10-26
log_603,user_439,A,1,2023-11-02
log_604,user_440,Control,0,2023-10-26
log_605,user_440,Control,1,2023-11-03
log_606,user_441,A,0,2023-10-26
log_607,user_442,A,0,2023-10-26
log_608,user_442,A,1,2023-11-07
log_609,user_443,Control,0,2023-10-26
log_610,user_444,A,1,2023-10-26
log_611,user_445,B,0,2023-10-26
log_612,user_445,B,1,2023-11-05
log_613,user_446,A,0,2023-10-26
log_614,user_447,A,0,2023-10-26
log_615,user_448,Control,0,2023-10-26
log_616,user_449,A,0,2023-10-26
log_617,user_450,Control,0,2023-10-26
log_618,user_451,A,0,2023-10-26
log_619,user_452,B,0,2023-10-26
log_620,user_452,B,1,2023-11-06
log_621,user_453,A,0,2023-10-26
log_622,user_453,A,1,2023-11-19
log_623,user_454,A,0,2023-10-26
log_624,user_455,B,0,2023-10-26
log_625,user_455,B,1,2023-10-30
log_626,user_456,Control,0,2023-10-26
log_627,user_457,A,0,2023-10-26
log_628,user_458,B,0,2023-10-26
log_629,user_459,A,0,2023-10-26
log_630,user_460,B,0,2023-10-26
log_631,user_461,B,1,2023-10-26
log_632,user_461,B,1,2023-10-29
log_633,user_462,Control,0,2023-10-26
log_634,user_463,Control,0,2023-10-26
log_635,user_464,Control,0,2023-10-26
log_636,user_465,Control,0,2023-10-26
log_637,user_466,B,0,2023-10-26
log_638,user_466,B,1,2023-10-31
log_639,user_467,B,0,2023-10-26
log_640,user_467,B,1,2023-10-30
log_641,user_468,A,0,2023-10-26
log_642,user_469,Control,0,2023-10-26
log_643,user_470,B,0,2023-10-26
log_644,user_471,A,0,2023-10-26
log_645,user_472,Control,0,2023-10-26
log_646,user_473,Control,0,2023-10-26
log_647,user_474,B,0,2023-10-26
log_648,user_475,A,0,2023-10-26
log_649,user_476,B,0,2023-10-26
log_650,user_477,B,0,2023-10-26
log_651,user_478,Control,0,2023-10-26
log_652,user_479,A,0,2023-10-26
log_653,user_479,A,1,2023-11-18
log_654,user_480,Control,0,2023-10-26
log_655,user_480,Control,1,2023-11-03
log_656,user_481,A,0,2023-10-26
log_657,user_482,Control,0,2023-10-26
log_658,user_483,A,0,2023-10-26
log_659,user_484,A,1,2023-10-26
log_660,user_485,B,0,2023-10-26
log_661,user_485,B,1,2023-11-17
log_662,user_486,B,0,2023-10-26
log_663,user_486,B,1,2023-11-05
log_664,user_487,B,0,2023-10-26
log_665,user_487,B,1,2023-11-06
log_666,user_487,B,1,2023-11-23
log_667,user_488,Control,0,2023-10-26
log_668,user_489,A,0,2023-10-26
log_669,user_489,A,1,2023-11-05
log_670,user_490,B,0,2023-10-26
log_671,user_491,Control,0,2023-10-26
log_672,user_491,Control,1,2023-11-18
log_673,user_492,Control,0,2023-10-26
log_674,user_492,Control,1,2023-11-02
log_675,user_493,B,0,2023-10-26
log_676,user_494,A,0,2023-10-26
log_677,user_495,Control,1,2023-10-26
log_678,user_496,B,0,2023-10-26
log_679,user_497,Control,0,2023-10-26
log_680,user_498,A,0,2023-10-26
log_681,user_498,A,1,2023-11-04
log_682,user_499,A,0,2023-10-26
log_683,user_499,A,1,2023-11-08
log_684,user_500,B,0,2023-10-26
log_685,user_500,B,1,2023-11-04
log_686,user_500,B,1,2023-11-18
log_687,user_501,A,1,2023-10-26
log_688,user_502,A,0,2023-10-26
log_689,user_503,B,0,2023-10-26
log_690,user_504,B,0,2023-10-26
log_691,user_504,B,1,2023-11-07
log_692,user_505,Control,0,2023-10-26
log_693,user_506,A,0,2023-10-26
log_694,user_507,B,0,2023-10-26
log_695,user_507,B,1,2023-11-19
log_696,user_508,B,0,2023-10-26
log_697,user_508,B,1,2023-11-23
log_698,user_509,Control,0,2023-10-26
log_699,user_509,Control,1,2023-11-04
log_700,user_510,A,0,2023-10-26
log_701,user_510,A,1,2023-11-23
log_702,user_511,B,0,2023-10-26
log_703,user_512,A,0,2023-10-26
log_704,user_513,Control,0,2023-10-26
log_705,user_514,Control,0,2023-10-26
log_706,user_515,B,0,2023-10-26
log_707,user_516,A,0,2023-10-26
log_708,user_517,A,0,2023-10-26
log_709,user_518,B,0,2023-10-26
log_710,user_518,B,1,2023-11-22
log_711,user_519,Control,0,2023-10-26
log_712,user_520,B,0,2023-10-26
log_713,user_520,B,1,2023-11-04
log_714,user_521,Control,0,2023-10-26
log_715,user_522,A,0,2023-10-26
log_716,user_522,A,1,2023-11-08
log_717,user_523,A,0,2023-10-26
log_718,user_523,A,1,2023-11-18
log_719,user_524,A,0,2023-10-26
log_720,user_525,A,0,2023-10-26
log_721,user_525,A,1,2023-11-18
log_722,user_526,A,1,2023-10-26
log_723,user_527,Control,0,2023-10-26
log_724,user_528,B,0,2023-10-26
