user_id,region_id,push_on,total_settle_cnt
user_117,1,0,3
user_118,2,1,4
user_119,7,1,3
user_120,7,1,6
user_121,6,0,2
user_122,4,1,7
user_123,5,0,2
user_124,1,0,1
user_125,8,1,5
user_126,9,0,6
user_127,7,1,7
user_128,1,0,2
user_129,5,0,1
user_130,1,0,5
user_131,10,0,15
user_132,5,0,1
user_133,4,0,1
user_134,9,1,6
user_135,3,1,1
user_136,8,0,2
user_137,2,0,1
user_138,7,0,3
user_139,5,1,3
user_140,9,1,2
user_141,10,0,1
user_142,5,1,3
user_143,6,1,2
user_144,5,1,2
user_145,5,0,4
user_146,4,1,2
user_147,9,1,3
user_148,8,0,19
user_149,9,1,11
user_150,9,0,6
user_151,10,0,2
user_152,4,1,1
user_153,6,1,8
user_154,4,0,5
user_155,3,0,12
user_156,5,1,1
user_157,9,0,2
user_158,9,1,1
user_159,1,1,2
user_160,5,1,1
user_161,3,1,4
user_162,2,0,1
user_163,8,0,1
user_164,1,0,2
user_165,9,1,6
user_166,9,0,1
user_167,7,0,3
user_168,9,1,12
user_169,9,0,1
user_170,6,0,7
user_171,6,0,2
user_172,5,1,1
user_173,6,1,4
user_174,3,1,7
user_175,7,1,7
user_176,8,1,1
user_177,9,1,10
user_178,9,0,4
user_179,7,1,1
user_180,6,1,4
user_181,3,0,13
user_182,7,0,2
user_183,4,0,9
user_184,4,0,2
user_185,1,0,3
user_186,7,0,2
user_187,5,1,6
user_188,3,1,1
user_189,7,0,1
user_190,7,0,1
user_191,3,1,1
user_192,10,1,3
user_193,6,0,2
user_194,1,1,2
user_195,7,0,4
user_196,10,1,3
user_197,9,1,2
user_198,4,0,1
user_199,9,1,1
user_200,3,1,1
user_201,7,1,3
user_202,4,0,1
user_203,10,0,3
user_204,2,1,2
user_205,9,0,2
user_206,2,0,8
user_207,3,1,1
user_208,10,1,1
user_209,3,1,2
user_210,7,1,2
user_211,8,1,1
user_212,5,1,8
user_213,9,0,9
user_214,1,1,2
user_215,5,1,1
user_216,2,0,2
user_217,6,0,2
user_218,4,0,2
user_219,3,1,2
user_220,6,1,5
user_221,5,1,3
user_222,6,0,1
user_223,2,1,3
user_224,1,1,4
user_225,5,0,1
user_226,9,0,2
user_227,3,1,1
user_228,7,0,2
user_229,3,1,1
user_230,10,0,4
user_231,1,0,6
user_232,1,1,4
user_233,2,0,1
user_234,4,0,1
user_235,8,1,5
user_236,5,1,3
user_237,8,0,1
user_238,4,0,7
user_239,3,1,1
user_240,10,1,7
user_241,3,1,2
user_242,1,0,2
user_243,4,1,1
user_244,2,0,8
user_245,10,1,1
user_246,4,1,3
user_247,2,0,1
user_248,9,1,6
user_249,2,0,6
user_250,2,0,2
user_251,3,0,1
user_252,3,1,3
user_253,2,1,1
user_254,4,1,1
user_255,2,0,2
user_256,8,1,5
user_257,8,1,5
user_258,10,0,4
user_259,4,1,2
user_260,5,0,2
user_261,6,1,3
user_262,3,1,3
user_263,8,1,4
user_264,4,0,1
user_265,4,0,2
user_266,2,0,2
user_267,6,0,2
user_268,8,1,4
user_269,9,0,1
user_270,6,1,3
user_271,1,1,3
user_272,8,1,2
user_273,1,1,1
user_274,10,1,1
user_275,6,0,5
user_276,8,1,1
user_277,8,0,1
user_278,7,1,11
user_279,8,0,3
user_280,1,1,3
user_281,7,1,1
user_282,6,0,3
user_283,1,1,1
user_284,8,1,1
user_285,7,0,1
user_286,6,0,2
user_287,5,1,3
user_288,8,0,1
user_289,3,0,1
user_290,9,0,1
user_291,2,0,2
user_292,7,1,2
user_293,3,1,2
user_294,6,1,9
user_295,6,1,2
user_296,10,1,2
user_297,6,1,2
user_298,7,0,5
user_299,1,0,9
user_300,7,1,5
user_301,10,1,7
user_302,7,1,9
user_303,7,1,4
user_304,9,1,1
user_305,1,1,8
user_306,4,1,2
user_307,3,0,2
user_308,10,1,1
user_309,10,1,1
user_310,1,0,2
user_311,2,1,1
user_312,9,1,10
user_313,4,1,9
user_314,4,1,6
user_315,2,0,2
user_316,4,0,2
user_317,1,1,1
user_318,3,0,4
user_319,6,1,2
user_320,5,1,2
user_321,7,1,3
user_322,3,1,1
user_323,7,0,10
user_324,1,0,1
user_325,8,0,1
user_326,5,1,2
user_327,9,1,2
user_328,3,0,1
user_329,6,0,3
user_330,1,0,1
user_331,4,0,3
user_332,9,1,7
user_333,10,1,4
user_334,5,0,8
user_335,8,0,3
user_336,9,0,1
user_337,5,1,3
user_338,4,1,4
user_339,3,1,5
user_340,7,0,2
user_341,10,1,1
user_342,4,1,8
user_343,9,1,1
user_344,7,1,7
user_345,9,0,8
user_346,8,0,2
user_347,8,1,5
user_348,10,1,6
user_349,5,0,1
user_350,5,1,1
user_351,1,0,4
user_352,2,1,4
user_353,3,1,4
user_354,5,1,10
user_355,9,1,2
user_356,4,0,1
user_357,6,0,2
user_358,2,0,1
user_359,2,1,1
user_360,10,0,6
user_361,2,0,5
user_362,6,0,1
user_363,4,0,3
user_364,2,1,2
user_365,2,1,3
user_366,10,1,4
user_367,5,0,1
user_368,9,0,2
user_369,3,0,2
user_370,5,0,7
user_371,5,0,10
user_372,4,1,1
user_373,7,0,1
user_374,6,0,1
user_375,1,0,4
user_376,3,1,4
user_377,6,1,1
user_378,1,1,1
user_379,4,0,3
user_380,6,1,2
user_381,10,1,2
user_382,3,1,6
user_383,1,0,1
user_384,9,1,4
user_385,8,0,5
user_386,10,0,6
user_387,10,1,7
user_388,9,1,6
user_389,8,0,1
user_390,6,0,13
user_391,1,1,1
user_392,8,0,4
user_393,7,1,3
user_394,3,1,5
user_395,1,1,3
user_396,5,0,3
user_397,3,0,2
user_398,1,1,1
user_399,8,0,4
user_400,8,1,1
user_401,9,1,1
user_402,1,1,1
user_403,7,0,1
user_404,6,1,9
user_405,6,1,9
user_406,10,1,1
user_407,7,1,5
user_408,10,0,4
user_409,8,1,1
user_410,7,1,1
user_411,3,1,1
user_412,8,0,3
user_413,8,0,4
user_414,2,1,1
user_415,5,0,6
user_416,8,0,3
user_417,9,1,1
user_418,4,1,3
user_419,2,0,4
user_420,3,0,4
user_421,1,1,1
user_422,5,0,2
user_423,2,1,1
user_424,1,1,2
user_425,4,0,1
user_426,2,0,4
user_427,5,1,12
user_428,6,1,8
user_429,4,0,7
user_430,5,0,7
user_431,4,1,1
user_432,3,0,9
user_433,8,0,2
user_434,1,0,1
user_435,5,0,3
user_436,9,1,5
user_437,5,1,6
user_438,8,1,2
user_439,2,1,1
user_440,5,1,2
user_441,3,1,1
user_442,6,0,2
user_443,3,1,1
user_444,2,1,7
user_445,3,0,8
user_446,6,0,1
user_447,5,1,3
user_448,10,0,3
user_449,5,0,17
user_450,8,0,1
user_451,6,1,4
user_452,8,1,3
user_453,4,0,1
user_454,3,1,2
user_455,2,1,4
user_456,5,1,7
user_457,5,1,1
user_458,5,1,7
user_459,5,1,1
user_460,9,1,2
user_461,1,1,1
user_462,8,1,4
user_463,6,0,4
user_464,1,1,3
user_465,2,0,6
user_466,3,0,1
user_467,1,1,6
user_468,1,1,1
user_469,6,1,2
user_470,8,1,2
user_471,9,0,2
user_472,2,0,2
user_473,5,0,3
user_474,8,0,2
user_475,3,1,8
user_476,10,1,1
user_477,4,0,9
user_478,1,0,4
user_479,2,0,1
user_480,2,0,10
user_481,5,0,7
user_482,6,1,2
user_483,1,1,1
user_484,6,0,8
user_485,1,1,3
user_486,6,0,7
user_487,10,1,2
user_488,5,1,1
user_489,3,1,3
user_490,8,1,16
user_491,5,0,1
user_492,8,0,2
user_493,3,0,2
user_494,10,1,2
user_495,8,1,4
user_496,5,1,3
user_497,2,0,3
user_498,3,0,8
user_499,8,0,2
user_500,7,0,1
user_501,3,0,2
user_502,6,0,5
user_503,9,1,8
user_504,5,1,3
user_505,2,0,5
user_506,8,1,1
user_507,4,1,4
user_508,6,1,1
user_509,7,1,3
user_510,4,1,1
user_511,3,0,1
user_512,1,1,2
user_513,6,0,5
user_514,8,0,1
user_515,2,1,15
user_516,9,0,4
user_517,9,0,1
user_518,8,0,3
user_519,6,0,4
user_520,2,1,1
user_521,8,1,1
user_522,6,1,2
user_523,2,0,2
user_524,2,1,3
user_525,2,0,1
user_526,6,0,1
user_527,1,0,1
user_528,5,0,8
user_529,1,0,1
user_530,5,1,1
user_531,1,1,1
user_532,3,0,12
user_533,1,1,3
user_534,5,1,3
user_535,10,0,1
user_536,5,0,1
user_537,9,0,5
user_538,10,0,2
user_539,4,1,3
user_540,8,1,3
user_541,4,0,2
user_542,7,0,3
user_543,8,0,2
user_544,2,1,2
user_545,1,1,1
user_546,7,0,1
user_547,1,1,5
user_548,3,1,3
user_549,6,0,1
user_550,3,1,4
user_551,10,0,1
user_552,9,0,1
user_553,10,0,3
user_554,3,0,2
user_555,3,1,2
user_556,5,0,3
user_557,9,0,1
user_558,2,1,2
user_559,7,0,2
user_560,10,1,2
user_561,8,1,1
user_562,2,0,2
user_563,3,0,1
user_564,8,1,1
user_565,3,0,1
user_566,9,0,4
user_567,6,1,4
user_568,9,1,1
user_569,3,0,4
user_570,7,1,3
user_571,7,0,1
user_572,10,0,1
user_573,4,1,6
user_574,8,1,6
user_575,4,1,4
user_576,7,1,1
user_577,10,0,1
user_578,10,0,4
user_579,8,1,6
user_580,3,1,1
user_581,8,0,3
user_582,5,1,4
user_583,9,1,1
user_584,4,1,4
user_585,3,1,2
user_586,8,0,5
user_587,3,1,1
user_588,8,0,11
user_589,6,0,1
user_590,1,1,2
user_591,3,0,2
user_592,9,1,7
user_593,3,0,1
user_594,10,0,2
user_595,2,1,4
user_596,6,1,1
user_597,1,1,7
user_598,6,0,3
user_599,2,0,8
user_600,6,0,3
user_601,6,0,2
user_602,2,1,2
user_603,1,1,4
user_604,6,0,2
user_605,9,0,5
user_606,5,0,6
user_607,10,1,2
user_608,10,1,10
user_609,1,1,1
user_610,2,1,1
user_611,7,1,2
user_612,10,0,3
user_613,1,1,2
user_614,7,1,10
user_615,9,0,3
user_616,9,1,1
user_617,5,1,15
user_618,4,1,5
user_619,2,0,2
user_620,10,0,1
user_621,6,0,2
user_622,9,1,6
user_623,4,1,2
user_624,1,1,6
user_625,1,1,2
user_626,2,1,5
user_627,5,0,1
user_628,4,1,7
user_629,8,0,3
user_630,5,0,2
user_631,2,1,1
user_632,2,0,9
user_633,1,0,7
user_634,8,0,11
user_635,4,1,8
user_636,3,1,1
user_637,2,1,1
user_638,9,1,5
user_639,4,0,8
user_640,1,0,6
user_641,6,1,4
user_642,3,1,2
user_643,3,1,1
user_644,10,0,4
user_645,6,0,4
user_646,10,1,4
user_647,2,1,2
user_648,8,1,1
user_649,2,0,1
user_650,5,1,3
user_651,5,1,4
user_652,5,1,1
user_653,4,1,1
user_654,3,1,2
user_655,8,0,1
user_656,5,1,3
user_657,5,0,3
user_658,6,0,1
user_659,8,0,2
user_660,1,1,1
user_661,6,0,3
user_662,9,0,1
user_663,6,1,4
user_664,7,1,1
user_665,3,1,2
user_666,1,0,1
user_667,8,0,1
user_668,1,0,3
user_669,3,0,5
user_670,3,1,8
user_671,4,0,9
user_672,1,0,2
user_673,7,0,1
user_674,1,0,1
user_675,10,1,1
user_676,10,0,4
user_677,7,1,3
user_678,1,1,1
user_679,3,0,9
user_680,7,1,2
user_681,10,0,4
user_682,9,1,7
user_683,3,0,2
user_684,1,1,13
user_685,2,1,3
user_686,6,0,2
user_687,3,1,1
user_688,4,1,2
user_689,1,0,2
user_690,2,0,6
user_691,5,0,1
user_692,6,0,7
user_693,7,0,1
user_694,10,0,1
user_695,7,0,2
user_696,2,0,7
user_697,8,1,1
user_698,6,1,5
user_699,9,1,2
user_700,4,1,1
user_701,9,1,2
user_702,6,1,1
user_703,6,0,1
user_704,9,0,14
user_705,7,0,5
user_706,10,1,1
user_707,7,0,7
user_708,1,1,1
user_709,4,1,2
user_710,10,0,1
user_711,4,1,6
user_712,3,1,6
user_713,2,0,9
user_714,3,1,4
user_715,10,1,2
user_716,7,1,5
user_717,1,1,3
user_718,9,1,1
user_719,5,1,4
user_720,5,0,1
user_721,2,0,8
user_722,3,0,5
user_723,6,0,1
user_724,8,1,1
user_725,2,1,1
user_726,3,0,6
user_727,9,0,5
user_728,10,0,3
user_729,6,1,1
user_730,2,0,5
user_731,8,0,5
user_732,5,0,2
user_733,7,1,1
user_734,5,0,2
user_735,1,1,3
user_736,8,1,1
user_737,9,1,4
user_738,6,1,4
user_739,6,1,1
user_740,9,1,2
user_741,5,0,1
user_742,9,1,2
user_743,6,0,1
user_744,8,1,1
user_745,9,0,1
user_746,8,1,8
user_747,8,1,3
user_748,10,0,3
user_749,9,1,1
user_750,2,0,1
user_751,8,0,13
user_752,1,0,4
user_753,6,0,1
user_754,10,1,1
user_755,7,1,2
user_756,5,0,1
user_757,3,1,2
user_758,5,0,2
user_759,2,0,5
user_760,4,1,2
user_761,7,1,3
user_762,1,1,2
user_763,9,0,1
user_764,1,0,1
user_765,10,1,4
user_766,10,0,1
user_767,6,0,2
user_768,7,0,2
user_769,3,1,7
user_770,4,0,1
user_771,6,1,1
user_772,5,1,3
user_773,5,1,1
user_774,5,1,2
user_775,3,0,1
user_776,5,0,7
user_777,10,1,3
user_778,3,0,1
user_779,8,0,2
user_780,6,1,2
user_781,3,0,1
user_782,4,0,1
user_783,3,1,6
user_784,3,1,14
user_785,8,1,1
user_786,7,1,2
user_787,8,0,6
user_788,9,0,14
user_789,8,1,4
user_790,10,1,3
user_791,7,0,3
user_792,4,1,3
user_793,10,1,6
user_794,6,0,2
user_795,9,1,2
user_796,2,0,1
user_797,2,1,2
user_798,2,0,5
user_799,10,1,1
user_800,1,1,1
user_801,3,0,8
user_802,3,1,1
user_803,7,1,3
user_804,1,1,1
user_805,8,1,3
user_806,10,0,1
user_807,7,0,2
user_808,6,0,4
user_809,4,0,2
user_810,9,0,3
user_811,5,1,4
user_812,9,0,7
user_813,10,1,9
user_814,7,1,1
user_815,9,0,9
user_816,6,1,4
user_817,8,1,2
user_818,5,0,6
user_819,3,1,1
user_820,5,1,1
user_821,9,0,1
user_822,4,0,1
user_823,9,0,2
user_824,4,1,2
user_825,1,0,2
user_826,9,0,1
user_827,6,0,5
user_828,2,0,6
user_829,6,1,2
user_830,9,0,15
user_831,6,0,1
user_832,4,0,1
user_833,7,0,1
user_834,10,1,1
user_835,1,0,3
user_836,9,1,2
user_837,1,1,1
user_838,9,1,5
user_839,2,0,2
user_840,2,0,2
user_841,1,1,7
user_842,6,1,2
user_843,2,1,2
user_844,7,1,3
user_845,2,0,3
user_846,9,1,7
user_847,1,0,1
user_848,4,1,4
user_849,6,1,1
user_850,2,0,4
user_851,9,1,2
user_852,5,1,5
user_853,5,0,10
user_854,3,1,1
user_855,1,0,1
user_856,6,1,3
user_857,1,1,4
user_858,8,1,3
user_859,7,0,5
user_860,6,1,4
user_861,7,0,1
user_862,10,0,2
user_863,9,0,1
user_864,2,0,2
user_865,7,0,4
user_866,5,0,6
user_867,8,0,3
user_868,7,1,3
user_869,6,0,3
user_870,9,0,7
user_871,10,1,7
user_872,9,0,12
user_873,3,1,7
user_874,10,1,4
user_875,10,1,1
user_876,1,0,1
user_877,1,1,7
user_878,2,0,1
user_879,10,0,1
user_880,6,1,2
user_881,4,1,3
user_882,7,1,2
user_883,9,1,4
user_884,7,1,1
user_885,10,1,5
user_886,8,1,20
user_887,4,1,4
user_888,5,1,2
user_889,9,1,4
user_890,1,1,1
user_891,8,0,1
user_892,9,1,1
user_893,8,0,1
user_894,8,0,2
user_895,4,1,2
user_896,3,0,9
user_897,1,0,6
user_898,3,1,2
user_899,5,1,3
user_900,3,1,3
user_901,7,0,6
user_902,7,0,2
user_903,6,0,2
user_904,9,1,1
user_905,9,1,3
user_906,5,0,3
user_907,9,0,7
user_908,4,0,2
user_909,4,1,4
user_910,6,1,4
user_911,4,1,6
user_912,7,1,4
user_913,6,0,2
user_914,2,1,6
user_915,3,1,1
user_916,1,1,3
user_917,4,0,4
user_918,3,1,3
user_919,4,0,2
user_920,8,1,4
user_921,3,0,2
user_922,8,0,1
user_923,8,1,6
user_924,7,0,2
user_925,6,1,8
user_926,10,0,1
user_927,5,0,4
user_928,1,1,2
user_929,1,1,2
user_930,2,1,1
user_931,10,0,4
user_932,2,1,2
user_933,8,0,4
user_934,2,0,2
user_935,9,1,1
user_936,10,0,2
user_937,5,1,8
user_938,8,1,8
user_939,10,1,2
user_940,3,1,3
user_941,6,0,11
user_942,2,1,1
user_943,4,0,1
user_944,8,0,3
user_945,2,0,6
user_946,2,0,1
user_947,5,0,1
user_948,6,1,3
user_949,10,0,2
user_950,10,1,3
user_951,5,0,3
user_952,6,0,3
user_953,3,1,10
user_954,4,0,2
user_955,4,1,4
user_956,2,1,11
user_957,7,0,5
user_958,5,0,2
user_959,2,0,3
user_960,9,0,1
user_961,9,0,1
user_962,10,1,2
user_963,1,1,7
user_964,4,0,3
user_965,10,0,1
user_966,5,0,7
user_967,4,1,2
user_968,2,1,2
user_969,4,0,2
user_970,7,0,6
user_971,4,0,2
user_972,7,1,2
user_973,7,1,1
user_974,3,1,3
user_975,10,1,1
user_976,4,1,4
user_977,10,1,3
user_978,2,0,2
user_979,7,1,7
user_980,2,1,1
user_981,2,0,4
user_982,6,0,2
user_983,7,1,1
user_984,9,0,5
user_985,5,0,1
user_986,9,0,2
user_987,3,0,2
user_988,3,0,6
user_989,9,0,2
user_990,9,1,2
user_991,9,0,1
user_992,1,0,1
user_993,9,0,11
user_994,10,0,4
user_995,9,0,5
user_996,4,0,1
user_997,3,1,1
user_998,6,1,1
user_999,10,1,3
user_1000,3,0,1
