job_id,category_id,region_id,hourly_rate,posted_at
job_106,물류,10,12913,2023-08-23
job_107,카페,7,23682,2023-05-09
job_108,카페,3,16339,2023-05-28
job_109,IT,5,17519,2023-04-30
job_110,자료입력,5,19676,2023-07-08
job_111,문서작성,5,12907,2023-08-24
job_112,자료입력,7,23165,2023-06-01
job_113,배달,10,13492,2023-10-17
job_114,학원,5,15860,2023-09-14
job_115,서빙,7,18484,2023-09-04
job_116,배달,10,13973,2023-10-17
job_117,사무보조,6,10006,2023-05-15
job_118,물류,4,13255,2023-05-06
job_119,카페,2,11200,2023-10-13
job_120,IT,2,24536,2023-09-27
job_121,IT,6,15134,2023-08-27
job_122,물류,9,11353,2023-09-01
job_123,IT,3,23518,2023-08-03
job_124,주방보조,3,16782,2023-06-25
job_125,사무보조,5,13533,2023-05-27
job_126,식당,5,12072,2023-07-19
job_127,문서작성,4,21818,2023-06-09
job_128,문서작성,7,14312,2023-09-06
job_129,개발보조,6,21008,2023-06-30
job_130,강사보조,7,17035,2023-10-24
job_131,편의점,4,21103,2023-10-08
job_132,편의점,8,23226,2023-08-12
job_133,개발보조,4,15461,2023-09-23
job_134,서빙,8,19525,2023-08-09
job_135,재고관리,6,10041,2023-10-02
job_136,재고관리,10,16611,2023-07-11
job_137,IT,8,19375,2023-07-28
job_138,IT,3,12089,2023-06-12
job_139,식당,5,19016,2023-06-15
job_140,서빙,8,10344,2023-06-07
job_141,사무보조,10,17729,2023-08-19
job_142,베이커리,9,21842,2023-06-08
job_143,행정,3,18350,2023-07-30
job_144,학원,10,18633,2023-10-17
job_145,문서작성,8,16062,2023-09-02
job_146,IT,6,14361,2023-07-04
job_147,편의점,7,23599,2023-10-19
job_148,물류,3,10494,2023-09-03
job_149,문서작성,9,21746,2023-08-21
job_150,사무보조,7,22936,2023-05-10
job_151,서빙,7,23938,2023-05-30
job_152,IT,5,17003,2023-05-24
job_153,물류,8,21030,2023-05-16
job_154,베이커리,2,18757,2023-07-27
job_155,편의점,4,21946,2023-06-16
job_156,물류,2,13207,2023-10-02
job_157,사무보조,5,11523,2023-07-01
job_158,카페,5,19768,2023-06-28
job_159,카페,2,12317,2023-08-13
job_160,IT,1,16784,2023-10-05
job_161,자료입력,9,17182,2023-09-23
job_162,베이커리,4,22078,2023-10-24
job_163,주방보조,7,12667,2023-08-09
job_164,주방보조,4,19000,2023-08-28
job_165,강사보조,5,17820,2023-07-29
job_166,문서작성,6,11357,2023-06-25
job_167,바리스타,10,21591,2023-08-19
job_168,판매,1,17950,2023-09-25
job_169,판매,1,11762,2023-08-04
job_170,물류,5,18414,2023-05-22
job_171,재고관리,9,10580,2023-07-11
job_172,IT,5,22882,2023-10-02
job_173,판매,3,23585,2023-08-12
job_174,물류,6,10535,2023-09-16
job_175,주방보조,3,14579,2023-10-14
job_176,식당,9,12924,2023-09-15
job_177,바리스타,6,17183,2023-09-09
job_178,판매,9,18501,2023-08-31
job_179,문서작성,6,22356,2023-07-17
job_180,배달,6,9624,2023-09-10
job_181,주방보조,10,17032,2023-08-21
job_182,테스트,5,20947,2023-06-07
job_183,행정,2,19958,2023-10-23
job_184,IT,5,23633,2023-06-24
job_185,편의점,2,17463,2023-07-25
job_186,자료입력,7,14695,2023-06-25
job_187,서빙,5,22054,2023-08-11
job_188,강사보조,6,9833,2023-07-21
job_189,배달,8,20609,2023-05-27
job_190,주방보조,6,22546,2023-06-27
job_191,자료입력,2,13868,2023-06-17
job_192,IT,8,20181,2023-08-28
job_193,문서작성,9,24403,2023-07-14
job_194,자료입력,7,17759,2023-08-01
job_195,테스트,5,12243,2023-08-24
job_196,식당,9,22967,2023-07-10
job_197,IT,4,15591,2023-07-10
job_198,카페,2,20787,2023-10-19
job_199,자료입력,4,19751,2023-10-05
job_200,카페,4,13835,2023-06-27
job_201,배달,5,21522,2023-08-07
job_202,강사보조,7,19937,2023-06-28
job_203,물류,9,11601,2023-09-11
job_204,편의점,4,13056,2023-09-08
job_205,배달,7,24864,2023-09-05
job_206,배달,9,22768,2023-04-29
job_207,자료입력,4,10885,2023-05-03
job_208,문서작성,9,20428,2023-10-01
job_209,개발보조,1,19359,2023-05-05
job_210,강사보조,4,17539,2023-10-22
job_211,식당,1,20887,2023-09-22
job_212,IT,4,15727,2023-06-03
job_213,강사보조,3,15026,2023-08-24
job_214,행정,10,17463,2023-07-10
job_215,테스트,10,17877,2023-05-22
job_216,바리스타,6,20043,2023-08-13
job_217,물류,10,23209,2023-10-18
job_218,재고관리,5,14504,2023-07-15
job_219,판매,10,24914,2023-07-22
job_220,학원,7,16451,2023-07-01
job_221,편의점,1,23563,2023-08-07
job_222,서빙,1,17167,2023-09-04
job_223,사무보조,5,23500,2023-08-21
job_224,IT,1,23918,2023-06-26
job_225,베이커리,1,12135,2023-08-30
job_226,행정,3,24062,2023-06-08
job_227,판매,7,23686,2023-05-21
job_228,학원,10,23129,2023-09-18
job_229,바리스타,5,20036,2023-05-22
job_230,테스트,1,19952,2023-09-05
job_231,강사보조,3,21472,2023-08-28
job_232,문서작성,10,19597,2023-06-18
job_233,카페,2,15538,2023-07-16
job_234,카페,2,10578,2023-10-12
job_235,문서작성,7,14669,2023-09-03
job_236,베이커리,5,16906,2023-08-05
job_237,식당,6,17764,2023-05-27
job_238,학원,1,11614,2023-06-09
job_239,편의점,3,9911,2023-08-28
job_240,학원,10,24808,2023-06-05
job_241,편의점,9,24659,2023-05-20
job_242,주방보조,5,15946,2023-05-27
job_243,편의점,2,23251,2023-06-09
job_244,행정,3,19336,2023-10-11
job_245,강사보조,10,15707,2023-09-06
job_246,카페,7,21109,2023-05-05
job_247,식당,10,22193,2023-07-12
job_248,편의점,1,17954,2023-08-02
job_249,베이커리,5,21298,2023-05-18
job_250,물류,2,19239,2023-06-09
job_251,식당,1,15462,2023-06-02
job_252,개발보조,2,23160,2023-08-26
job_253,IT,10,22202,2023-07-09
job_254,배달,4,9963,2023-07-01
job_255,강사보조,9,13852,2023-06-21
job_256,베이커리,6,19758,2023-07-17
job_257,판매,7,12996,2023-05-19
job_258,학원,1,10660,2023-10-18
job_259,강사보조,10,14491,2023-06-25
job_260,강사보조,10,18030,2023-06-03
job_261,문서작성,5,17054,2023-07-28
job_262,재고관리,4,21167,2023-07-11
job_263,테스트,5,22345,2023-06-13
job_264,자료입력,2,21762,2023-05-03
job_265,카페,3,11087,2023-10-06
job_266,사무보조,10,22544,2023-08-19
job_267,문서작성,5,16135,2023-10-12
job_268,판매,2,16859,2023-06-14
job_269,IT,9,12009,2023-06-27
job_270,편의점,10,11930,2023-05-31
job_271,식당,3,10670,2023-05-02
job_272,IT,2,15336,2023-06-07
job_273,사무보조,1,22514,2023-09-05
job_274,IT,7,16304,2023-09-26
job_275,행정,10,15142,2023-09-14
job_276,행정,5,17479,2023-09-22
job_277,재고관리,6,10627,2023-07-27
job_278,강사보조,4,24398,2023-05-02
job_279,식당,10,19106,2023-08-10
job_280,카페,5,14525,2023-06-06
job_281,물류,5,12278,2023-08-31
job_282,자료입력,6,10345,2023-06-17
job_283,편의점,4,15157,2023-10-15
job_284,개발보조,9,22805,2023-05-13
job_285,행정,9,23742,2023-05-18
job_286,자료입력,4,22371,2023-08-20
job_287,물류,7,11769,2023-10-08
job_288,주방보조,10,21288,2023-08-17
job_289,사무보조,5,10026,2023-06-10
job_290,바리스타,6,24799,2023-06-14
job_291,재고관리,1,22105,2023-07-01
job_292,문서작성,10,23899,2023-08-03
job_293,IT,10,16614,2023-08-18
job_294,배달,6,19435,2023-10-20
job_295,편의점,4,13927,2023-05-27
job_296,물류,7,13827,2023-05-01
job_297,학원,2,16173,2023-07-25
job_298,자료입력,6,9902,2023-09-04
job_299,행정,6,14500,2023-05-01
job_300,주방보조,9,15982,2023-07-12
job_301,베이커리,8,21092,2023-06-19
job_302,서빙,5,22901,2023-07-15
job_303,재고관리,4,20925,2023-05-25
job_304,판매,2,18326,2023-09-15
job_305,개발보조,3,11254,2023-09-22
job_306,사무보조,5,15081,2023-06-09
job_307,물류,8,20576,2023-07-03
job_308,재고관리,10,17563,2023-06-12
job_309,개발보조,5,19844,2023-05-29
job_310,강사보조,5,22271,2023-07-30
job_311,문서작성,5,10787,2023-06-12
job_312,학원,10,21785,2023-07-15
job_313,자료입력,5,9891,2023-05-30
job_314,문서작성,7,19935,2023-06-17
job_315,주방보조,3,9800,2023-10-07
job_316,강사보조,1,19381,2023-07-31
job_317,판매,9,21093,2023-05-05
job_318,사무보조,3,10258,2023-05-04
job_319,배달,2,19841,2023-09-21
job_320,재고관리,2,18658,2023-07-15
job_321,주방보조,6,17810,2023-05-14
job_322,바리스타,3,20833,2023-06-25
job_323,판매,5,11572,2023-09-02
job_324,학원,3,22290,2023-05-15
job_325,재고관리,4,15938,2023-06-10
job_326,학원,5,19454,2023-08-13
job_327,학원,1,17689,2023-09-17
job_328,문서작성,10,16448,2023-08-05
job_329,테스트,2,14212,2023-08-28
job_330,편의점,7,11604,2023-08-27
job_331,배달,9,17014,2023-08-15
job_332,테스트,2,23884,2023-06-17
job_333,행정,1,14071,2023-06-16
job_334,주방보조,8,10662,2023-05-11
job_335,판매,6,22598,2023-07-28
job_336,판매,10,19954,2023-06-13
job_337,행정,8,24227,2023-05-06
job_338,학원,9,19459,2023-09-24
job_339,식당,7,18907,2023-09-16
job_340,판매,6,23590,2023-05-28
job_341,판매,10,12695,2023-06-29
job_342,재고관리,6,10261,2023-04-30
job_343,문서작성,9,21581,2023-07-28
job_344,서빙,4,15151,2023-08-15
job_345,문서작성,2,15270,2023-08-27
job_346,행정,6,23385,2023-08-05
job_347,강사보조,6,15688,2023-08-11
job_348,편의점,10,18955,2023-08-17
job_349,배달,2,24295,2023-06-13
job_350,행정,3,16363,2023-08-09
job_351,문서작성,8,24712,2023-08-01
job_352,편의점,6,19887,2023-05-04
job_353,카페,1,12206,2023-08-29
job_354,주방보조,1,19545,2023-10-01
job_355,재고관리,5,18126,2023-07-24
job_356,행정,7,20435,2023-06-12
job_357,행정,6,22289,2023-07-09
job_358,개발보조,1,22522,2023-08-13
job_359,카페,3,17164,2023-07-04
job_360,물류,1,23655,2023-10-02
job_361,자료입력,10,18112,2023-07-02
job_362,문서작성,10,24739,2023-10-09
job_363,카페,5,12216,2023-07-11
job_364,자료입력,5,16539,2023-07-16
job_365,물류,7,18761,2023-10-25
job_366,주방보조,7,17833,2023-08-19
job_367,학원,4,16595,2023-08-14
job_368,사무보조,2,20963,2023-09-05
job_369,재고관리,2,14782,2023-07-26
job_370,문서작성,9,22560,2023-07-09
job_371,개발보조,7,22028,2023-05-06
job_372,테스트,5,20196,2023-05-15
job_373,서빙,2,10438,2023-05-14
job_374,개발보조,7,21869,2023-10-03
job_375,주방보조,2,12606,2023-09-01
job_376,물류,5,19620,2023-05-16
job_377,식당,4,22530,2023-10-16
job_378,카페,1,11549,2023-08-01
job_379,식당,3,16157,2023-09-25
job_380,식당,8,12179,2023-05-13
job_381,물류,8,15822,2023-06-27
job_382,사무보조,3,9749,2023-08-09
job_383,행정,1,21467,2023-05-15
job_384,배달,10,23652,2023-08-04
job_385,문서작성,4,10868,2023-08-17
job_386,재고관리,8,23734,2023-05-26
job_387,사무보조,5,15654,2023-05-09
job_388,행정,8,24793,2023-06-22
job_389,배달,1,12179,2023-09-01
job_390,물류,5,23739,2023-10-15
job_391,개발보조,9,24645,2023-05-02
job_392,학원,9,10799,2023-05-23
job_393,테스트,9,9665,2023-09-10
job_394,물류,10,15859,2023-06-20
job_395,학원,4,21166,2023-05-24
job_396,물류,3,17396,2023-10-24
job_397,바리스타,10,17081,2023-06-21
job_398,카페,1,16453,2023-06-29
job_399,자료입력,3,17261,2023-09-04
job_400,테스트,8,15378,2023-09-03
job_401,물류,4,13116,2023-08-11
job_402,배달,6,13648,2023-07-24
job_403,IT,8,18351,2023-08-06
job_404,배달,4,12123,2023-08-23
job_405,물류,10,14394,2023-07-19
job_406,사무보조,9,10966,2023-05-07
job_407,바리스타,7,14109,2023-05-10
job_408,물류,10,21260,2023-10-25
job_409,식당,1,18956,2023-05-24
job_410,문서작성,4,14449,2023-07-30
job_411,카페,4,14846,2023-04-30
job_412,테스트,9,10189,2023-08-30
job_413,베이커리,8,14309,2023-05-03
job_414,배달,7,13401,2023-09-15
job_415,IT,1,20931,2023-07-12
job_416,테스트,2,17970,2023-07-25
job_417,식당,10,24010,2023-10-16
job_418,베이커리,4,11263,2023-07-18
job_419,문서작성,10,13469,2023-05-01
job_420,배달,3,12093,2023-05-17
job_421,배달,8,23299,2023-08-18
job_422,자료입력,2,15868,2023-08-29
job_423,바리스타,7,23457,2023-06-26
job_424,판매,2,22568,2023-05-16
job_425,바리스타,1,16739,2023-08-28
job_426,개발보조,6,16931,2023-05-25
job_427,바리스타,9,14266,2023-09-22
job_428,자료입력,8,13094,2023-10-04
job_429,편의점,3,12187,2023-09-02
job_430,학원,9,21243,2023-06-17
job_431,편의점,7,19772,2023-10-10
job_432,강사보조,10,23314,2023-05-08
job_433,학원,6,14914,2023-05-08
job_434,베이커리,7,18848,2023-06-13
job_435,자료입력,4,22823,2023-10-16
job_436,문서작성,8,12716,2023-06-27
job_437,행정,1,19699,2023-10-23
job_438,사무보조,1,10465,2023-10-10
job_439,IT,4,21009,2023-09-17
job_440,테스트,9,19136,2023-07-21
job_441,자료입력,10,21687,2023-07-04
job_442,카페,7,16956,2023-10-06
job_443,물류,9,19796,2023-08-03
job_444,베이커리,10,13259,2023-05-13
job_445,물류,5,23899,2023-06-14
job_446,바리스타,6,13305,2023-05-16
job_447,바리스타,5,17426,2023-07-22
job_448,식당,5,10557,2023-10-18
job_449,바리스타,1,18442,2023-10-18
job_450,테스트,10,24580,2023-04-30
job_451,사무보조,3,18460,2023-08-16
job_452,바리스타,10,17455,2023-07-29
job_453,자료입력,2,17397,2023-09-25
job_454,편의점,2,13139,2023-08-30
job_455,배달,9,11816,2023-08-26
job_456,편의점,5,20599,2023-10-11
job_457,문서작성,2,14883,2023-09-20
job_458,행정,4,24797,2023-09-12
job_459,행정,4,18486,2023-06-10
job_460,카페,2,15547,2023-08-31
job_461,재고관리,8,11594,2023-09-26
job_462,자료입력,5,9707,2023-07-17
job_463,강사보조,7,22022,2023-08-12
job_464,편의점,7,14263,2023-08-23
job_465,편의점,9,23171,2023-07-26
job_466,행정,2,17849,2023-07-20
job_467,베이커리,6,15869,2023-10-18
job_468,테스트,4,18911,2023-07-02
job_469,사무보조,7,20835,2023-10-07
job_470,주방보조,3,23477,2023-07-19
job_471,테스트,4,24519,2023-08-19
job_472,IT,4,18672,2023-07-07
job_473,카페,2,9884,2023-07-13
job_474,행정,3,23585,2023-06-02
job_475,사무보조,5,21352,2023-07-18
job_476,사무보조,3,20894,2023-07-22
job_477,베이커리,3,23598,2023-07-13
job_478,카페,10,18442,2023-09-23
job_479,바리스타,6,13649,2023-10-21
job_480,사무보조,10,12204,2023-09-28
job_481,주방보조,9,16180,2023-08-21
job_482,행정,1,15016,2023-05-03
job_483,베이커리,5,10462,2023-09-11
job_484,판매,3,14610,2023-07-03
job_485,편의점,10,19459,2023-09-29
job_486,판매,9,11189,2023-09-06
job_487,식당,3,23184,2023-05-11
job_488,개발보조,5,15012,2023-09-10
job_489,편의점,6,23833,2023-10-14
job_490,베이커리,9,14514,2023-09-15
job_491,IT,5,12400,2023-09-18
job_492,학원,9,20401,2023-05-26
job_493,테스트,4,17082,2023-09-24
job_494,학원,10,19698,2023-09-10
job_495,문서작성,5,11559,2023-07-07
job_496,카페,2,15157,2023-07-13
job_497,주방보조,2,16527,2023-05-02
job_498,카페,2,18608,2023-10-18
job_499,주방보조,7,19970,2023-08-24
job_500,문서작성,8,17591,2023-08-01
